h, min, s, pm_25, pm_10
15, 47, 47, 9.4, 12.8
15, 47, 48, 9.3, 12.4
15, 47, 49, 9.2, 12.2
15, 49, 42, 8.7, 12.4
15, 49, 43, 8.7, 12.5
15, 49, 44, 8.6, 12.2
15, 49, 45, 8.8, 12.9
15, 49, 46, 8.8, 13.1
15, 49, 47, 8.8, 13.1
15, 49, 48, 8.7, 13.1
15, 49, 49, 8.8, 13.1
15, 49, 50, 8.8, 13.0
15, 49, 51, 8.8, 12.3
15, 49, 52, 8.8, 15.8
15, 49, 53, 8.9, 17.3
15, 49, 54, 9.0, 19.6
15, 49, 55, 10.0, 34.2
15, 49, 56, 10.7, 52.3
15, 49, 57, 13.4, 81.2
15, 49, 58, 14.6, 96.9
15, 49, 59, 15.8, 109.3
15, 50, 0, 17.1, 124.2
15, 50, 1, 20.4, 159.8
15, 50, 2, 22.0, 175.3
15, 50, 3, 22.6, 184.0
15, 50, 4, 23.0, 191.7
15, 50, 5, 26.4, 224.1
15, 50, 6, 27.8, 231.5
15, 50, 7, 28.2, 239.4
15, 50, 8, 28.1, 239.2
15, 50, 9, 28.2, 239.5
15, 50, 10, 28.2, 239.4
15, 50, 11, 28.1, 239.3
15, 50, 12, 28.1, 239.2
15, 50, 13, 28.1, 239.3
15, 50, 14, 28.1, 240.0
15, 50, 15, 27.9, 239.1
15, 50, 16, 27.9, 239.0
15, 50, 17, 27.9, 239.5
15, 50, 18, 28.0, 239.9
15, 50, 19, 28.0, 240.3
15, 50, 20, 28.0, 241.3
15, 50, 21, 28.1, 241.4
15, 50, 22, 28.0, 237.1
15, 50, 23, 27.9, 235.7
15, 50, 24, 27.7, 233.6
15, 50, 25, 26.7, 219.1
15, 50, 26, 26.0, 201.1
15, 50, 27, 23.2, 172.0
15, 50, 28, 22.0, 156.2
15, 50, 29, 20.9, 144.4
15, 50, 30, 19.6, 129.6
15, 50, 31, 16.4, 94.1
15, 50, 32, 14.8, 78.6
15, 50, 33, 14.2, 70.1
15, 50, 34, 13.9, 62.5
15, 50, 35, 10.4, 30.0
15, 50, 36, 9.1, 22.6
15, 50, 37, 8.8, 14.8
15, 50, 38, 8.9, 15.0
15, 50, 39, 8.8, 14.6
15, 50, 40, 8.8, 14.9
15, 50, 41, 8.8, 15.1
15, 50, 42, 8.8, 15.0
15, 50, 43, 8.9, 15.1
15, 50, 44, 8.8, 15.0
15, 50, 45, 8.9, 15.0
15, 50, 46, 8.9, 15.1
15, 50, 47, 9.1, 15.2
15, 50, 48, 9.1, 14.9
15, 50, 49, 9.1, 14.6
15, 50, 50, 9.1, 14.1
15, 50, 51, 9.2, 14.9
15, 50, 52, 9.1, 14.9
15, 50, 53, 9.1, 14.8
15, 50, 54, 9.1, 14.6
15, 50, 55, 9.2, 14.6
15, 50, 56, 9.2, 14.5
15, 50, 57, 9.1, 14.4
15, 50, 58, 9.1, 14.4
15, 50, 59, 9.0, 13.8
15, 51, 0, 8.9, 13.9
15, 51, 1, 9.0, 13.9
15, 51, 2, 8.9, 13.9
15, 51, 3, 8.9, 13.6
15, 51, 4, 8.9, 13.6
15, 51, 5, 8.9, 13.6
15, 51, 6, 8.8, 13.5
15, 51, 7, 8.7, 13.4
15, 51, 8, 8.6, 13.9
15, 51, 9, 8.6, 13.9
15, 51, 10, 8.6, 13.6
15, 51, 11, 8.5, 13.8
15, 51, 12, 8.5, 13.8
15, 51, 13, 8.5, 13.6
15, 51, 14, 8.5, 13.3
15, 51, 15, 8.6, 14.0
15, 51, 16, 8.6, 13.9
15, 51, 17, 8.4, 13.3
15, 51, 18, 8.4, 13.3
15, 51, 19, 8.5, 14.0
15, 51, 20, 8.5, 13.6
15, 51, 21, 8.3, 12.7
